H,a,e,i,q,ad,per_y,diameter,albedo,impact_candidate,name,is_neo,is_pha
10.39,1.458,0.2228,10.83,1.133,1.78,1.76,4.301011566381215,0.0,1,   433 Eros (A898 PA),False,False
15.59,2.637,0.5466,11.57,1.195,4.08,4.28,0.39225691687348063,0.0,1,   719 Albert (A911 TB),False,False
13.81,2.474,0.5712,9.4,1.061,3.89,3.89,0.8903701885194275,0.0,1,   887 Alinda (A918 AA),False,False
9.18,2.665,0.5332,26.68,1.244,4.09,4.35,7.508801272555643,0.0,1,  1036 Ganymed (A924 UB),False,False
17.37,1.92,0.4346,11.87,1.085,2.75,2.66,0.17281069247269779,0.0,1,  1221 Amor (1932 EA1),False,False
16.53,1.078,0.827,22.8,0.186,1.97,1.12,0.25443134308160853,0.0,1,  1566 Icarus (1949 MA),False,False
14.61,2.195,0.4876,52.19,1.125,3.27,3.25,0.6159856720006726,0.0,1,  1580 Betulia (1950 KA),False,False
15.27,1.246,0.3355,13.34,0.828,1.66,1.39,0.45453843306821307,0.0,1,  1620 Geographos (1951 RA),False,False
12.79,1.863,0.3973,8.46,1.123,2.6,2.54,1.4241987834854086,0.0,1,  1627 Ivar (1929 SH),False,False
14.28,1.368,0.436,9.38,0.771,1.96,1.6,0.7170849545198966,0.0,1,  1685 Toro (1948 OA),False,False
16.08,1.471,0.5599,6.35,0.647,2.29,1.78,0.31301893570915434,0.0,1,  1862 Apollo (1932 HA),False,False
15.46,2.26,0.6063,18.38,0.89,3.63,3.4,0.4164574259250437,0.0,1,  1863 Antinous (1948 EA),False,False
14.84,1.461,0.6144,22.22,0.563,2.36,1.77,0.5540776222217587,0.0,1,  1864 Daedalus (1971 FA),False,False
16.79,1.08,0.4669,16.1,0.576,1.58,1.12,0.22572029566574223,0.0,1,  1865 Cerberus (1971 UA),False,False
12.48,1.893,0.5381,41.21,0.875,2.91,2.61,1.6427467265960787,0.0,1,  1866 Sisyphus (1972 XA),False,False
18.38,2.545,0.5702,20.4,1.094,4.0,4.06,0.10853519989979557,0.0,1,  1915 Quetzalcoatl (1953 EA),False,False
14.92,2.273,0.4492,12.88,1.252,3.29,3.43,0.5340360936378888,0.0,1,  1916 Boreas (1953 RA),False,False
14.38,2.149,0.5055,23.96,1.063,3.24,3.15,0.6848108151140192,0.0,1,  1917 Cuyo (1968 AA),False,False
15.69,1.431,0.2559,8.71,1.064,1.8,1.71,0.37460244742980114,0.0,1,  1943 Anteros (1973 EC),False,False
13.81,1.709,0.3647,26.87,1.086,2.33,2.23,0.8903701885194275,0.0,1,  1980 Tezcatlipoca (1950 LA),False,False
15.25,1.776,0.6505,39.82,0.621,2.93,2.37,0.4587442254068679,0.0,1,  1981 Midas (1973 EA),False,False
15.98,2.642,0.5316,11.02,1.237,4.05,4.29,0.32777106366156433,0.0,1,  2059 Baboquivari (1963 UA),False,False
16.7,2.265,0.5356,3.8,1.052,3.48,3.41,0.23527219834021315,0.0,1,  2061 Anza (1960 UA),False,False
17.11,0.967,0.1829,18.94,0.79,1.14,0.951,0.19479177295515337,0.0,1,  2062 Aten (1976 AA),False,False
